"CONSOA2" "CONSOA4" "CONSOA6" "NEUSOA2" "NEUSOA4" "NEUSOA6" "INCSOA2" "INCSOA4" "INCSOA6"
   414.50    359.90    379.28    376.20    376.36    393.82    412.77    415.10    430.60 
   391.86    365.18    360.67    388.13    409.62    381.36    396.75    378.19    485.74 
   332.53    319.06    322.50    385.56    469.13    293.61    299.55    307.01    339.03 
   395.87    370.78    340.13    413.73    393.56    390.70    398.33    411.18    408.65 
   362.65    310.79    272.18    344.24    326.89    339.16    414.63    416.29    387.07 
   486.48    461.25    495.63    512.00    465.20    484.37    594.20    539.24    535.59 
   349.90    296.64    293.81    368.61    345.34    362.23    352.83    372.67    370.56 
   444.94    414.75    387.34    472.18    452.34    414.64    455.70    508.22    498.54 
   344.45    297.39    267.57    362.84    342.01    325.12    360.61    377.00    420.60 
   371.33    327.30    332.57    357.53    343.83    371.72    384.59    389.99    408.34 
   365.64    345.29    296.81    359.11    363.38    324.74    398.29    398.68    374.33 
   425.59    384.99    423.19    449.27    418.54    460.27    500.56    472.81    461.38 
   338.45    286.05    277.08    339.87    331.01    348.87    363.67    417.89    399.79 
   353.24    307.55    273.55    345.86    334.33    353.19    389.16    384.17    412.39 
   345.22    314.60    301.29    349.96    344.68    340.61    347.28    381.49    424.29 
   328.83    304.00    298.83    339.04    332.90    318.97    358.44    357.67    373.49 
